icao24,runway_fap,ts_fap,ts_thr,distance_fap_to_thr,delta_time_fap_to_thr,speed_fap,vertical_speed_fap,heading_fap,weekday
0101ba,32R,1733058414291,1733058594202,16847.54252316036,179.92073229613547,138.44886633181358,0.0,324.0273805860386,6
02010d,32L,1733052514947,1733052653891,10583.773565404412,142.03613381067828,80.1537446284981,0.0,320.7459554592596,6
020111,32L,1733049912546,1733050052056,10583.773565404412,143.98982977525588,90.86759051280646,-47.16981132075472,318.7973035551011,6
020177,32L,1733078152160,1733078282847,10583.773565404412,140.14010792842052,78.2369855380983,0.0,321.7275739682612,6
02a261,32R,1733081732980,1733081947784,16847.54252316036,214.74181157740887,89.96446195085207,-24.271844660194173,321.19459398980985,6
06a140,32R,1733068715883,1733068913986,16847.54252316036,197.78063147607136,99.08285496820568,0.0,323.30779324780167,6
06a1bb,32R,1733055470940,1733055666886,16847.54252316036,196.11904231099982,102.10055776051571,-24.777006937561946,322.78866968472767,6
06a2eb,32R,1733078643848,1733078841545,16847.54252316036,199.0980355034076,90.2655874454963,0.0,325.8853401985448,6
06a30d,32R,1733074193377,1733074394547,16847.54252316036,200.98460185473402,90.93574346824066,-27.114967462039044,322.11389694263386,6
0a0074,32R,1733052907686,1733053103477,16847.54252316036,196.14656892804206,98.60864366836418,-16.170763260025872,321.34893760918004,6
0d09ec,32R,1733023197998,1733023394876,16847.54252316036,196.51437511446946,103.28979799667468,0.0,321.8064240475706,6
30095a,32R,1733055886656,1733056070987,16847.54252316036,184.06893299623445,154.5617753991053,0.0,323.38002804665837,6
341207,32R,1733074775275,1733074986746,16847.54252316036,211.35113098586282,101.35402192351596,-14.611338398597312,326.6976280962339,6
34134d,32R,1733050796764,1733050996186,16847.54252316036,196.33413751562668,109.80425523777299,-44.96402877697842,328.2880910700984,6
34134d,32R,1733074874564,1733075079099,16847.54252316036,204.40950201271124,93.89748488500749,0.0,318.7842807799241,6
34134e,32R,1733041801505,1733042006067,16847.54252316036,205.13092020331322,104.06051450401097,-17.158544955387782,321.32485859953914,6
34134e,32R,1733069836862,1733070048681,16847.54252316036,211.73354323580602,114.41603304283444,-59.38242280285036,318.7846336296693,6
34150e,32R,1733057667649,1733057863156,16847.54252316036,195.6234904368423,121.42790829656406,0.0,321.0517556819361,6
34150e,32R,1733081951174,1733082151321,16847.54252316036,200.3429551482394,107.97082947279875,0.0,323.5858525707737,6
3415ce,32L,1733047522063,1733047652082,10583.773565404412,133.8286132135333,97.35170029245737,-24.271844660194173,320.7461754235081,6
3415ce,32L,1733061595778,1733061732986,10583.773565404412,136.25181738343733,91.5380595916462,-51.02040816326531,323.8856079138108,6
3415cf,32R,1733056451505,1733056654524,16847.54252316036,202.91660808914818,91.05767635577385,0.0,318.7841435631114,6
3415cf,32R,1733081616873,1733081824649,16847.54252316036,208.49637063927352,90.75486514555693,0.0,325.5360353291786,6
341646,32R,1733049434418,1733049623957,16847.54252316036,190.39618687482601,104.00405706739139,-20.25111381125962,321.83001177656183,6
341646,32L,1733068270502,1733068395894,10583.773565404412,134.0792228415861,81.9889532553659,-16.223231667748216,321.1176151972154,6
341682,32L,1733078299476,1733078414999,10583.773565404412,118.56967462299512,95.485863120957,0.0,320.80540133356084,6
342059,32R,1733059453264,1733059655908,16847.54252316036,201.48294341352548,110.79892487816255,-47.43833017077799,321.6795530594466,6
34208d,32L,1733059162469,1733059289306,10583.773565404412,135.15739811004212,80.77048012138363,-61.576354679802954,320.9049351140353,6
342090,32R,1733038999748,1733039189327,16847.54252316036,189.98588929155784,98.22783165638948,-18.532246108228318,304.05070701981407,6
342091,32L,1733043687286,1733043813319,10583.773565404412,129.08509825812507,92.8093532016359,0.0,322.2089221092519,6
342091,32R,1733071118285,1733071325786,16847.54252316036,209.16537136557264,103.48866108628451,0.0,324.3491869437514,6
3420ca,32R,1733052679755,1733052870753,16847.54252316036,192.8354883458171,99.34195991669962,-21.853146853146853,323.72606963756203,6
3420ca,32R,1733082993340,1733083202722,16847.54252316036,208.83274139722377,88.72873290836421,0.0,325.2178257979355,6
3420cb,32L,1733044119855,1733044245581,10583.773565404412,133.43975242443756,93.4062376629417,-48.16955684007707,324.7710707822797,6
3420cb,32L,1733059944996,1733060080984,10583.773565404412,139.98436997083078,83.00682540452465,0.0,321.84264204865565,6
3420cc,32L,1733045884039,1733046013809,10583.773565404412,132.90926236070254,79.35080242256343,0.0,319.59554240478235,6
