icao24,runway_fap,ts_fap,ts_thr,distance_fap_to_thr,delta_time_fap_to_thr,speed_fap,vertical_speed_fap,heading_fap,weekday
010244,32R,1739535300499,1739535510176,16847.54252316036,210.5086407431715,119.46551214005044,-48.543689320388346,317.8841616964103,4
01024c,32R,1739529865668,1739530074649,16847.54252316036,208.61242809963437,110.57557610281596,0.0,325.5374298485958,4
0200f8,32L,1739561724854,1739561846345,10583.773565404412,128.81081069631097,84.14456713966156,0.0,325.05099587233747,4
020104,32L,1739551580412,1739551700172,10583.773565404412,122.83339193878506,94.64528105353318,0.0,324.76688784761785,4
020111,32L,1739529694275,1739529830599,10583.773565404412,139.67164495169138,68.31847520025725,0.0,320.9048207904402,4
02a261,32R,1739574530841,1739574720881,16847.54252316036,189.99271806970467,118.22244443005627,0.0,321.2724087514078,5
06a2b2,32R,1739536552841,1739536747556,16847.54252316036,195.00504721242012,102.82718681107306,-34.45899379738111,322.9355350116705,4
06a2f3,32R,1739557899647,1739558099060,16847.54252316036,197.13566679651956,95.96934006174523,-59.95203836930456,319.7426421686978,4
06a30b,32R,1739515772721,1739515976677,16847.54252316036,203.4721373748235,95.58721418681888,0.0,323.1792521390012,4
06a30d,32R,1739517743144,1739517936632,16847.54252316036,193.1724081874006,93.71067096092709,0.0,320.45664093294795,4
0d09ec,32R,1739505486549,1739505693204,16847.54252316036,206.5909860117039,77.24080160348166,-40.84967320261438,319.71827077637704,4
34134d,32R,1739538656817,1739538850599,16847.54252316036,193.2349047078784,86.99293430037311,0.0,325.73439917671527,4
34134d,32R,1739561978351,1739562181478,16847.54252316036,203.3897780277287,95.41119814904904,0.0,327.4338666462659,4
34134e,32R,1739540581050,1739540782449,16847.54252316036,200.7122744231722,102.56951903251029,-23.474178403755868,322.16525136483233,4
34134e,32R,1739563047159,1739563245121,16847.54252316036,198.4339872691469,94.79039128706859,-40.58441558441559,321.679742247008,4
3415ce,32R,1739541575668,1739541775255,16847.54252316036,198.32273371552986,95.45383537327268,-45.37205081669691,322.3988300467804,4
3415ce,32R,1739567014341,1739567195791,16847.54252316036,186.6358624553606,107.8677582989432,0.0,318.1976293172663,4
3415cf,32R,1739566779751,1739566972159,16847.54252316036,191.33014393896124,100.52994055458964,-48.16955684007707,322.53213368562035,4
341646,32R,1739494171974,1739494364416,16847.54252316036,196.48047464393622,82.00194327529697,0.0,0.0,4
341646,32R,1739529986211,1739530194573,16847.54252316036,200.89528045491795,99.2010689913332,-27.114967462039044,321.4401051529327,4
341682,32L,1739525658367,1739525798146,10583.773565404412,144.85972825603696,69.30736066321668,0.0,322.1694841378179,4
341682,32L,1739546134733,1739546255240,10583.773565404412,123.32180793051589,93.9029450190599,0.0,325.273629570869,4
341682,32L,1739569958401,1739570065591,10583.773565404412,114.70292904079989,111.43888204841696,-24.061597690086625,323.58365584142746,4
342059,32R,1739520943753,1739521138500,16847.54252316036,195.89938897299226,107.9913114921241,0.0,325.7343751842245,4
342059,32R,1739560043155,1739560231877,16847.54252316036,189.31137629391023,108.74102339764228,-40.71661237785016,319.21806546936074,4
342090,32L,1739525086714,1739525218312,10583.773565404412,135.2056904285724,87.47144667520242,0.0,322.000191395005,4
342090,32L,1739558807134,1739558948255,10583.773565404412,144.8467653153793,76.0711038625526,0.0,321.84268051791923,4
342091,32L,1739534758036,1739534882503,10583.773565404412,127.99615089983156,106.52791812632967,-60.24096385542169,320.9583046272511,4
342091,32R,1739567796872,1739567989426,16847.54252316036,191.41059315164193,99.81338054348454,0.0,321.6501956620283,4
3420ca,32R,1739519197430,1739519401430,16847.54252316036,201.9150975948582,88.25718044959446,0.0,308.24632588181123,4
3420ca,32R,1739539286327,1739539486422,16847.54252316036,200.48471019551576,95.40993632816054,-40.84967320261438,321.679742247008,4
3420ca,32R,1739564240948,1739564443424,16847.54252316036,202.82034017555858,98.8925756651259,-23.78686964795433,322.4392042275201,4
3420cb,32R,1739519782989,1739519967408,16847.54252316036,186.31829764825355,110.51356087452764,0.0,325.43821033377776,4
3420cb,32R,1739554123705,1739554315599,16847.54252316036,191.0211206529227,86.83880468346645,0.0,324.97457231532957,4
3420cc,32L,1739514449393,1739514583785,10583.773565404412,137.9482464249004,91.92216339354752,0.0,329.37532355642674,4
3420cc,32R,1739529487656,1739529681327,16847.54252316036,193.64635465426105,131.51095899773586,-56.306306306306304,321.6797611654429,4
3420cc,32R,1739553210439,1739553406268,16847.54252316036,194.4413280005136,102.71573018477577,-25.201612903225808,321.5931369308974,4
342104,32L,1739551784158,1739551915025,10583.773565404412,129.28620853192382,96.8801449607873,-60.53268765133172,319.7556905618804,4
342105,32R,1739514645535,1739514840045,16847.54252316036,193.90256762728168,108.57930484891071,-17.45810055865922,322.45737517466114,4
342105,32L,1739540494044,1739540616974,10583.773565404412,125.6759243543614,78.95057680914557,0.0,318.79726431029263,4
342105,32L,1739554170804,1739554289183,10583.773565404412,121.19914456690474,106.6854945967868,-24.342745861733206,322.1640703983016,4
342105,32R,1739569844413,1739570038491,16847.54252316036,194.027732297282,97.71834010434017,0.0,321.52176112736703,4
342107,32R,1739522695871,1739522888818,16847.54252316036,192.9388283396267,99.02915662307038,0.0,322.6892024149544,4
342107,32R,1739548695541,1739548892991,16847.54252316036,197.45413622359177,125.32882120822278,-27.056277056277054,323.5710271381046,4
342188,32R,1739539799533,1739539992992,16847.54252316036,193.49004617543363,114.249023954008,-24.342745861733206,321.7465349901661,4
342188,32R,1739566333272,1739566520537,16847.54252316036,186.11690808348828,125.82657673764668,0.0,323.9175756374527,4
342211,32R,1739516688309,1739516890253,16847.54252316036,201.37445221856862,106.58668758088893,0.0,326.240464580717,4
342211,32R,1739540700442,1739540900619,16847.54252316036,201.19124176137805,92.42970756149623,-11.627906976744187,323.0168227854442,4
342211,32R,1739568712592,1739568904285,16847.54252316036,190.74107610924491,115.62658600578416,-48.44961240310077,321.20503507544163,4
34224e,32R,1739502199998,1739502399414,16847.54252316036,199.4124255476816,102.04899517323227,0.0,319.2075860073635,4
34224e,32R,1739555101503,1739555297302,16847.54252316036,195.23958708111368,98.27752963056669,-15.28117359413203,322.3225027943489,4
3423c3,32R,1739532733844,1739532930876,16847.54252316036,195.62828910944583,106.64249809688462,0.0,323.9977627206187,4
3423c3,32R,1739552719048,1739552904970,16847.54252316036,186.8134148277173,112.32799363022968,-30.450669914738125,325.8854734079603,4
3423c3,32R,1739568416341,1739568607100,16847.54252316036,189.92769650437,107.22607480052096,-24.461839530332682,322.15125128398597,4
3423c4,32R,1739521683175,1739521873290,16847.54252316036,190.42835242353905,106.65065445314491,-15.873015873015873,321.98746643243044,4
3423c4,32L,1739549130313,1739549254415,10583.773565404412,123.11646113395429,105.04126173571305,0.0,322.42787104844894,4
3423c4,32R,1739568817358,1739569021910,16847.54252316036,203.34737676085388,116.06074590741812,-30.33980582524272,323.49321094438517,4
34250a,32R,1739523460940,1739523660125,16847.54252316036,199.12484457717173,101.7333396519713,-40.71661237785016,324.57581562913424,4
34250a,32R,1739545263817,1739545446533,16847.54252316036,181.43334578163245,109.24197090668898,-22.182786157941436,323.020787780751,4
34250a,32R,1739568184860,1739568369029,16847.54252316036,184.52452830202745,121.2606192970352,-27.144408251900106,321.9939987826969,4
34260e,32L,1739538796879,1739538922753,10583.773565404412,133.41203367311772,89.97728408917598,-25.075225677031092,323.8856618883481,4
34260e,32R,1739566892101,1739567095682,16847.54252316036,201.8472399222795,102.10735029903816,-16.644474034620504,324.10079801154336,4
343141,32L,1739524292281,1739524415700,10583.773565404412,126.8632119223923,91.0755539428533,0.0,321.339148663084,4
343141,32L,1739552815933,1739552939535,10583.773565404412,127.21739388504598,99.35817310088969,0.0,320.01818853678236,4
343141,32R,1739575130751,1739575313640,16847.54252316036,181.97121742518368,159.3211122376168,-81.69934640522877,318.46491677853965,5
