icao24,runway_fap,ts_fap,ts_thr,distance_fap_to_thr,delta_time_fap_to_thr,speed_fap,vertical_speed_fap,heading_fap,weekday
0101b8,32R,1736771349941,1736771541720,16847.54252316036,191.2082450482215,90.8584745666524,0.0,325.88529165264544,0
010209,32R,1736768344315,1736768566218,16847.54252316036,222.1505034995506,95.81350076154082,-49.01960784313725,327.5573408147528,0
02005a,32L,1736787418966,1736787538671,10583.773565404412,124.39191604638843,96.12230559277688,0.0,329.77960464870796,0
02007d,32L,1736766473325,1736766598136,10583.773565404412,127.58184305494974,88.45521601115139,0.0,321.8422200650381,0
040101,32R,1736751466427,1736751667581,16847.54252316036,200.79463640894977,94.97484492106517,0.0,319.40913376187905,0
06a19f,32R,1736771452821,1736771653473,16847.54252316036,201.5103345351786,81.51070409949268,0.0,322.8118100852475,0
0d08d1,32L,1736761505862,1736761630954,10583.773565404412,128.99253575271322,78.51630713759647,-22.301516503122212,320.7461247504368,0
0d09ec,32R,1736736581389,1736736783284,16847.54252316036,202.46806188300815,135.77370935745893,-81.9672131147541,0.0,0
0d0a9a,32L,1736779597556,1736779715389,10583.773565404412,122.51106059384772,97.40724608951575,-21.8435998252512,330.61935829186245,0
34134d,32R,1736769266800,1736769471986,16847.54252316036,205.35850952740932,89.25454986262382,0.0,321.829799780586,0
34134d,32R,1736796848744,1736797062028,16847.54252316036,213.1402312427176,90.09376687585498,0.0,327.1490309234882,0
3415ce,32L,1736759868806,1736760005115,10583.773565404412,135.40958647688547,88.02151354808574,0.0,322.00024805986186,0
3415ce,32L,1736774206999,1736774343896,10583.773565404412,136.66876621190244,107.98169823541883,0.0,318.7972839332191,0
3415ce,32R,1736800234356,1736800452467,16847.54252316036,216.8262334407608,106.23963225239319,0.0,316.70620799589267,0
3415cf,32R,1736752765970,1736752982573,16847.54252316036,216.1704159925138,88.98212942941109,-24.606299212598426,321.6674384989961,0
3415cf,32R,1736781288410,1736781499034,16847.54252316036,209.9171125073156,98.32432142837371,0.0,320.7332036094528,0
341646,32R,1736736429746,1736736639328,16847.54252316036,210.40271217433553,81.28311823873784,0.0,352.7611356897879,0
341646,32L,1736764870776,1736764999226,10583.773565404412,133.5813160893606,79.77264316918807,0.0,324.65411932052825,0
341646,32L,1736803148234,1736803283931,10583.773565404412,143.54295899432114,83.99275090167782,0.0,321.9053057447335,0
341682,32R,1736775006285,1736775203488,16847.54252316036,196.1762395324203,105.93666502757148,0.0,325.1143319165415,0
341682,32L,1736790690234,1736790821718,10583.773565404412,130.42699655895322,86.75760445395947,0.0,323.88555135937054,0
342059,32R,1736803536704,1736803739166,16847.54252316036,202.22708501181697,105.46662133344806,-27.173913043478258,323.15213608991314,0
342090,32R,1736755989103,1736756211462,16847.54252316036,222.3638875535101,79.64739642348403,-23.651844843897827,322.1950599135065,0
342090,32L,1736780538495,1736780654706,10583.773565404412,122.1500585407363,100.33543688932043,-11.446886446886445,322.1641293816573,0
342090,32L,1736803695062,1736803817613,10583.773565404412,125.11397519087376,89.34877209492375,0.0,320.8141813181196,0
342091,32R,1736788325521,1736788540886,16847.54252316036,215.13025198311635,84.17680800281555,0.0,318.664604784819,0
3420ca,32R,1736757810112,1736758005566,16847.54252316036,191.96691746786715,107.0959144210531,0.0,318.5771307528264,0
3420ca,32R,1736789059406,1736789277718,16847.54252316036,215.53178778625988,90.76087145742,-24.4140625,321.23784360919154,0
3420cb,32R,1736757209343,1736757429482,16847.54252316036,220.09031911461247,88.03733632989231,-17.158544955387782,322.78247781848586,0
3420cb,32L,1736775581864,1736775713334,10583.773565404412,133.79662297292828,107.21874192426918,-72.67441860465117,325.8974322325103,0
3420cb,32L,1736789531431,1736789670068,10583.773565404412,143.82704621787207,79.38787317804227,0.0,321.84256511120213,0
3420cc,32R,1736755880639,1736756090595,16847.54252316036,208.99757433282576,88.54689483861097,-45.955882352941174,318.7841435631114,0
3420cc,32R,1736771235610,1736771446542,16847.54252316036,209.64607533412146,97.2120177186734,-15.822784810126581,322.68906453712145,0
3420cc,32R,1736791530724,1736791742396,16847.54252316036,213.07878657254273,125.79429548215369,0.0,322.68890242949135,0
342104,32L,1736761641031,1736761776574,10583.773565404412,134.33219242098224,78.81563492316958,0.0,323.18488042935263,0
342104,32L,1736789726174,1736789865530,10583.773565404412,147.55452742842286,83.23734817120223,0.0,319.59566304952193,0
342105,32L,1736763538375,1736763674470,10583.773565404412,140.93067577141383,83.8493672978444,0.0,329.07482380606285,0
342105,32R,1736777929884,1736778135967,16847.54252316036,205.438644250946,125.90365811568935,0.0,323.75745324476503,0
342105,32L,1736804920429,1736805044389,10583.773565404412,126.24106087594471,92.20806881462279,0.0,325.8975169619844,0
342107,32R,1736728966815,1736729167978,16847.54252316036,201.18831327099994,116.08534144394652,-49.70178926441352,321.6796854905782,0
342107,32R,1736760020222,1736760230445,16847.54252316036,210.20205677962562,108.47190403477644,0.0,322.5322100653202,0
342107,32L,1736795101258,1736795239308,10583.773565404412,143.13951211366177,80.5653511971073,0.0,324.7340346439223,0
342188,32L,1736767937987,1736768072647,10583.773565404412,139.57276469112657,77.26116446918869,0.0,322.211130759414,0
342188,32L,1736793209155,1736793342714,10583.773565404412,139.40710236947976,81.98419227129067,0.0,326.68727711108534,0
342189,32L,1736749845309,1736749979490,10583.773565404412,137.24528191670643,77.98398069770646,0.0,329.72856508324685,0
342189,32R,1736773558553,1736773763675,16847.54252316036,204.276692564762,77.85828421925298,0.0,319.74273806261544,0
342189,32R,1736797464000,1736797673408,16847.54252316036,209.11476012837102,93.38853089714988,-24.096385542168672,323.13419332792654,0
342210,32R,1736755739847,1736755943499,16847.54252316036,203.9393546796931,93.53342307469757,0.0,318.7838691344221,0
342210,32R,1736794381998,1736794596839,16847.54252316036,213.41863210312405,100.3462620584779,-29.308323563892145,321.82958841207983,0
34224e,32R,1736760620630,1736760830896,16847.54252316036,210.6126724913357,92.22632856269269,-19.083969465648853,323.17680327569565,0
34224e,32R,1736784041619,1736784244656,16847.54252316036,202.73099268906103,100.98279735944092,-49.30966469428008,322.68890242949135,0
342397,32R,1736753216877,1736753423769,16847.54252316036,206.51815137161503,97.50360945001506,0.0,319.48683748739415,0
3423c3,32R,1736757322267,1736757531424,16847.54252316036,208.4243284199796,87.77583137605522,0.0,319.5158884348248,0
3423c3,32R,1736780256496,1736780458618,16847.54252316036,200.97984242058922,97.82781098230419,0.0,319.58253406281534,0
3423c3,32R,1736804732491,1736804949767,16847.54252316036,215.95703003397438,110.11514082880564,0.0,325.8852194206998,0
3423c4,32R,1736754056211,1736754259305,16847.54252316036,202.90886266146762,105.05823611892347,-34.19972640218878,322.689167366982,0
3423c4,32R,1736787423182,1736787619105,16847.54252316036,196.0938856688647,100.28662609705954,0.0,323.50774949124275,0
3423c4,32L,1736803264150,1736803394170,10583.773565404412,133.8262184584765,93.75881367400598,-26.624068157614484,324.03999217774185,0
34250a,32L,1736761894497,1736762027305,10583.773565404412,136.49589708546753,92.48197293516914,0.0,323.88541939782687,0
34250a,32R,1736790006181,1736790208410,16847.54252316036,203.25530565492647,100.38510768676068,0.0,323.2878321020753,0
34260e,32R,1736758673548,1736758895268,16847.54252316036,221.46949222363378,94.755214648123,0.0,323.1520981314727,0
34260e,32R,1736774897013,1736775098711,16847.54252316036,201.95534005299652,113.59079093280515,-18.2882223847842,321.95914990184764,0
34260e,32L,1736790356609,1736790504609,10583.773565404412,146.6658640819548,82.81819881114384,-20.458265139116204,324.92195857716246,0
34260e,32L,1736804198620,1736804337312,10583.773565404412,137.55862904152949,102.36472126918608,-46.64179104477612,320.8220616556712,0
343141,32R,1736762234447,1736762449414,16847.54252316036,215.03148227472983,90.17927363608196,0.0,325.65896036365655,0
343183,32L,1736790861100,1736791012450,10583.773565404412,155.1872250356923,61.47091997544532,0.0,324.5884776675952,0
34324e,32R,1736773331207,1736773539033,16847.54252316036,205.65819233913177,102.12235254928927,0.0,325.7342647688969,0
34324e,32L,1736789395003,1736789534398,10583.773565404412,147.2849875040664,84.43374622558945,0.0,321.55169901884403,0
34324e,32L,1736802527423,1736802667944,10583.773565404412,139.24292190117816,96.34904433618372,0.0,323.93866164345536,0
343385,32L,1736774986579,1736775102233,10583.773565404412,124.10620663390554,95.00248170449349,0.0,321.88762331950716,0
343385,32L,1736789278573,1736789404547,10583.773565404412,128.93793809008065,107.36516245278455,0.0,324.03997659520525,0
343385,32L,1736804311181,1736804434507,10583.773565404412,128.28304284679734,97.23325515736231,0.0,320.28809548330986,0
34368c,32R,1736752235306,1736752459397,16847.54252316036,222.40150594325615,89.82790841873005,-48.355899419729205,319.6101240143961,0
34368c,32R,1736773457378,1736773665409,16847.54252316036,208.32170035490196,95.08632268845825,0.0,323.88952721677765,0
34368c,32L,1736789645275,1736789779228,10583.773565404412,137.25079078518766,82.03523111330169,0.0,320.09546870007426,0
343694,32R,1736760413151,1736760647166,16847.54252316036,232.7829759305895,93.84489936273542,0.0,322.54771884200477,0
343694,32L,1736778463337,1736778588446,10583.773565404412,133.0424471693736,103.08427660111792,0.0,329.72875468872775,0
343694,32L,1736796258495,1736796401422,10583.773565404412,148.81031863732554,88.46879980808096,0.0,323.88555135937054,0
344195,32R,1736750560269,1736750780646,16847.54252316036,220.4954437080567,101.60580316217919,0.0,318.02838525657955,0
344195,32R,1736773794276,1736774003945,16847.54252316036,209.84080206415902,97.01482473133348,0.0,325.66560286811705,0
344195,32L,1736791761356,1736791896759,10583.773565404412,145.31923428838485,79.22537999655175,0.0,325.7468723373596,0
344213,32R,1736749012954,1736749215664,16847.54252316036,202.47724036158706,108.840603854748,0.0,314.3790339115189,0
344213,32R,1736761205938,1736761418784,16847.54252316036,212.28273047345417,83.46287429243296,0.0,323.98577711648306,0
344213,32R,1736776040670,1736776245247,16847.54252316036,204.06708191066693,109.9959187305719,0.0,320.6769442668349,0
344213,32R,1736801454969,1736801658290,16847.54252316036,203.42308250729326,108.44044822740176,-61.576354679802954,324.0272326866159,0
