icao24,wake_vortex,wake_vortex_index
347518,Heavy,0.0
3c1bab,Heavy,0.0
3440d7,Obstruction,1.0
4520c4,,2.0
aa7ba7,Heavy,0.0
aa3417,Heavy,0.0
344115,Obstruction,1.0
3455c1,Heavy,0.0
344103,Obstruction,1.0
440be6,"<136,000kg",3.0
347206,Heavy,0.0
345318,Heavy,0.0
346456,Heavy,0.0
3410d3,Obstruction,1.0
3415ce,"<136,000kg",3.0
346555,Heavy,0.0
34564a,Obstruction,1.0
440d4c,"<136,000kg",3.0
3461cb,Heavy,0.0
342357,Obstruction,1.0
344455,"<136,000kg",3.0
aac6f5,Heavy,0.0
344304,Heavy,0.0
3c64a6,"<136,000kg",3.0
3949f4,Heavy,0.0
4cadad,"<136,000kg",3.0
06a0b9,Heavy,0.0
34758c,"<136,000kg",3.0
3440d8,Obstruction,1.0
341058,Obstruction,1.0
4d2157,"<34,000kg",4.0
344305,Heavy,0.0
aa9f76,Heavy,0.0
347588,"<136,000kg",3.0
3441d3,Obstruction,1.0
4ca88c,"<136,000kg",3.0
343141,"<136,000kg",3.0
3c0cb2,"<136,000kg",3.0
3472cc,"<136,000kg",3.0
347481,"<136,000kg",3.0
342396,"<136,000kg",3.0
347295,"<34,000kg",4.0
347302,"<136,000kg",3.0
346499,"<136,000kg",3.0
4d241e,"<136,000kg",3.0
39cea9,"<136,000kg",3.0
34135a,Obstruction,1.0
490d01,"<34,000kg",4.0
344511,Obstruction,1.0
3420cb,"<136,000kg",3.0
4d2136,"<136,000kg",3.0
3423c3,"<136,000kg",3.0
3423c4,"<136,000kg",3.0
342210,"<136,000kg",3.0
4d2217,"<136,000kg",3.0
34110b,Surface emergency vehicle,5.0
34604d,"<136,000kg",3.0
495151,"<136,000kg",3.0
34324e,"<136,000kg",3.0
34419a,Surface emergency vehicle,5.0
48c2a2,"<136,000kg",3.0
4d2303,"<136,000kg",3.0
3410d0,Surface emergency vehicle,5.0
4d22c6,"<136,000kg",3.0
34538e,"<136,000kg",3.0
34604c,"<136,000kg",3.0
341281,Obstruction,1.0
343147,Heavy,0.0
3c667a,"<136,000kg",3.0
4952c8,"<136,000kg",3.0
345583,"<136,000kg",3.0
347454,"<136,000kg",3.0
4ca8e7,"<136,000kg",3.0
