id_scenario,icao24,runway,seconds_to_threshold
scenario_00,484fde,14L/32R,213.34364235909703
scenario_01,344197,14L/32R,208.09936714286434
scenario_02,3434ce,14L/32R,208.23612798902536
scenario_03,4d2491,14L/32R,227.771663434465
scenario_04,347588,14L/32R,206.88250545523715
scenario_05,71002a,14L/32R,215.76825970015096
scenario_06,3453c9,18L/36R,226.57009524166355
scenario_07,34604d,18L/36R,230.91040035739022
scenario_08,0100dd,14L/32R,235.84008522330146
scenario_09,3442cc,14L/32R,228.08039339624793
scenario_10,020110,18R/36L,286.7917687374642
scenario_11,3475c9,14L/32R,207.97420613691347
scenario_12,344449,14L/32R,203.3692219905307
scenario_13,34745a,14L/32R,210.7905506430577
scenario_14,3444c3,14L/32R,206.4729202632331
scenario_15,39e689,14L/32R,206.48589958365508
scenario_16,7812a1,14L/32R,226.51071935642037
scenario_17,344218,14L/32R,215.98203723373067
scenario_18,346147,18L/36R,226.53686117947683
scenario_19,342211,14L/32R,203.59962496502075
