id_scenario,icao24,runway,seconds_to_threshold
scenario_00,484fde,14L/32R,209.57788727580547
scenario_01,344197,14L/32R,198.1554749069273
scenario_02,3434ce,14L/32R,201.62793187027538
scenario_03,4d2491,14L/32R,199.9209471037385
scenario_04,347588,14L/32R,214.588058695575
scenario_05,71002a,14L/32R,206.3883737977861
scenario_06,3453c9,18L/36R,247.59273434933684
scenario_07,34604d,18L/36R,247.79744871529587
scenario_08,0100dd,14L/32R,211.2266880178487
scenario_09,3442cc,14L/32R,201.02942413812372
scenario_10,020110,18R/36L,328.64029424328356
scenario_11,3475c9,14L/32R,215.33575486598204
scenario_12,344449,14L/32R,201.9579971619512
scenario_13,34745a,14L/32R,202.738009438735
scenario_14,3444c3,14L/32R,203.64676307446774
scenario_15,39e689,14L/32R,205.481125483594
scenario_16,7812a1,14L/32R,198.2614694629287
scenario_17,344218,14L/32R,198.903911850622
scenario_18,346147,18L/36R,234.54379659438428
scenario_19,342211,14L/32R,212.40010865172508
